Type	Gene	RelativeLength
RT	FBgn0025809	0.0568181818181818
RT	FBgn0039890	0
RT	FBgn0038564	0.025
RT	FBgn0010328	0
RT	FBgn0037383	0
RT	FBgn0038149	0.0171149144254279
RT	FBgn0023515	0.0575916230366492
RT	FBgn0022986	0.0212765957446809
RT	FBgn0033309	0
RT	FBgn0010612	0
RT	FBgn0261606	0.0943396226415094
RT	FBgn0027660	0
RT	FBgn0002921	0.0163265306122449
RT	FBgn0027088	0
RT	FBgn0036921	0.00404858299595142
RT	FBgn0085229	0
RT	FBgn0039930	0.0232558139534884
RT	FBgn0015926	0.00591715976331361
RT	FBgn0086904	0
RT	FBgn0031036	0
RT	FBgn0004598	0
RT	FBgn0030991	0
RT	FBgn0010314	0.0222222222222222
RT	FBgn0013987	0
RT	FBgn0036005	0
RT	FBgn0034646	0
RT	FBgn0032358	0
RT	FBgn0036824	0
RT	FBgn0020618	0.0212765957446809
RT	FBgn0027348	0
RT	FBgn0261065	0
RT	FBgn0035160	0.0188679245283019
RT	FBgn0040813	0
RT	FBgn0026149	0
RT	FBgn0005694	0.0784313725490196
RT	FBgn0039163	0.0736842105263158
RT	FBgn0024227	0
RT	FBgn0000463	0
RT	FBgn0021944	0.16
RT	FBgn0004656	0
RT	FBgn0034962	0
RT	FBgn0037530	0
RT	FBgn0019972	0
RT	FBgn0035432	0
RT	FBgn0034368	0
RT	FBgn0015924	0.0112359550561798
RT	FBgn0038269	0
RT	FBgn0261067	0
RT	FBgn0039115	0
RT	FBgn0261532	0
RT	FBgn0033735	0
RT	FBgn0019925	0
RT	FBgn0029941	0.125
RT	FBgn0016926	0.0141643059490085
RT	FBgn0032340	0
RT	FBgn0034232	0.0909090909090909
RT	FBgn0033889	0
RT	FBgn0027094	0
RT	FBgn0261987	0
RT	FBgn0029092	0
RT	FBgn0031683	0.037037037037037
RT	FBgn0034403	0
RT	FBgn0028969	0
RT	FBgn0041604	0
RT	FBgn0038577	0
RT	FBgn0029823	0.0204081632653061
RT	FBgn0044452	0
RT	FBgn0085212	0
RT	FBgn0036515	0
RT	FBgn0028990	0
RT	FBgn0036994	0
RT	FBgn0039259	0.04
RT	FBgn0020412	0
RT	FBgn0013548	0
RT	FBgn0002780	0
RT	FBgn0016930	0
RT	FBgn0038100	0
RT	FBgn0262114	0
RT	FBgn0024947	0
RT	FBgn0003114	0
RT	FBgn0035165	0
RT	FBgn0035989	0.0161290322580645
RT	FBgn0013720	0
RT	FBgn0034176	0
RT	FBgn0029969	0.0105263157894737
RT	FBgn0025185	0
RT	FBgn0037199	0
RT	FBgn0025716	0
RT	FBgn0033884	0
RT	FBgn0037051	0
RT	FBgn0031030	0.0137931034482759
RT	FBgn0030680	0
RT	FBgn0034000	0
RT	FBgn0034688	0
RT	FBgn0015949	0
RT	FBgn0011604	0
RT	FBgn0033712	0
RT	FBgn0037071	0
RT	FBgn0032816	0
RT	FBgn0026207	0
RT	FBgn0034491	0
RT	FBgn0086711	0
RT	FBgn0004837	0
RT	FBgn0022943	0.0303030303030303
RT	FBgn0037106	0
RT	FBgn0036105	0
RT	FBgn0024698	0
RT	FBgn0000286	0.00917431192660551
RT	FBgn0035713	0
RT	FBgn0015229	0
RT	FBgn0034641	0
RT	FBgn0034098	0.0126582278481013
RT	FBgn0038277	0.033112582781457
NonRT	FBgn0037191	0.00806451612903226
NonRT	FBgn0036810	0
NonRT	FBgn0029994	0.122448979591837
NonRT	FBgn0051156	0.0204081632653061
NonRT	FBgn0004635	0
NonRT	FBgn0260646	0.0515463917525773
NonRT	FBgn0038397	0
NonRT	FBgn0038220	0
NonRT	FBgn0010583	0
NonRT	FBgn0032906	0.0526315789473684
NonRT	FBgn0031321	0.0526315789473684
NonRT	FBgn0030674	0
NonRT	FBgn0038427	0.0212765957446809
NonRT	FBgn0033233	0.01
NonRT	FBgn0033736	0.0666666666666667
NonRT	FBgn0067864	0.0303030303030303
NonRT	FBgn0051717	0
NonRT	FBgn0002732	0
NonRT	FBgn0039207	0
NonRT	FBgn0031751	0.004739336492891
NonRT	FBgn0266599	0
NonRT	FBgn0250868	0.0545454545454545
NonRT	FBgn0052816	0
NonRT	FBgn0040005	0
NonRT	FBgn0040477	0
NonRT	FBgn0039328	0
NonRT	FBgn0029727	0
NonRT	FBgn0000053	0.68
NonRT	FBgn0032365	0
NonRT	FBgn0030038	0.166666666666667
NonRT	FBgn0052712	0.0569948186528497
NonRT	FBgn0031554	0
NonRT	FBgn0038481	0.0666666666666667
NonRT	FBgn0034860	0.136094674556213
NonRT	FBgn0051140	0
NonRT	FBgn0038959	0
NonRT	FBgn0034138	0
NonRT	FBgn0003388	0
NonRT	FBgn0034945	0
NonRT	FBgn0050428	0.177215189873418
NonRT	FBgn0033556	0
NonRT	FBgn0261804	0
NonRT	FBgn0029606	0
NonRT	FBgn0036465	0.146067415730337
NonRT	FBgn0037100	0
NonRT	FBgn0027610	0
NonRT	FBgn0038834	0
NonRT	FBgn0027550	0
NonRT	FBgn0039198	0
NonRT	FBgn0037109	0
NonRT	FBgn0030992	0.114093959731544
NonRT	FBgn0019686	0.0357142857142857
NonRT	FBgn0031987	0
NonRT	FBgn0053217	0
NonRT	FBgn0053627	0
NonRT	FBgn0037010	0
NonRT	FBgn0034477	0.565217391304348
NonRT	FBgn0038437	0
NonRT	FBgn0053178	0
NonRT	FBgn0027559	0.0666666666666667
NonRT	FBgn0040784	0.0731707317073171
NonRT	FBgn0038760	0
NonRT	FBgn0054043	0
NonRT	FBgn0037009	0
NonRT	FBgn0032359	0
NonRT	FBgn0028717	0
NonRT	FBgn0032450	0.294117647058824
NonRT	FBgn0015773	0
NonRT	FBgn0034537	0
NonRT	FBgn0260745	0
NonRT	FBgn0030286	0
NonRT	FBgn0037472	0
NonRT	FBgn0051933	0.0163934426229508
NonRT	FBgn0029133	0.0165289256198347
NonRT	FBgn0028491	0
NonRT	FBgn0039359	0
NonRT	FBgn0030447	0
NonRT	FBgn0000241	0
NonRT	FBgn0261241	0
NonRT	FBgn0015268	0.024390243902439
NonRT	FBgn0033907	0
NonRT	FBgn0032001	0.0442477876106195
NonRT	FBgn0265351	0
NonRT	FBgn0003742	0.333333333333333
NonRT	FBgn0038199	0
NonRT	FBgn0037042	0.0434782608695652
NonRT	FBgn0010217	0.0625
NonRT	FBgn0002121	0
NonRT	FBgn0032940	0
NonRT	FBgn0039684	0
NonRT	FBgn0033392	0.00970873786407767
NonRT	FBgn0063491	0
NonRT	FBgn0264492	0
NonRT	FBgn0085327	0
NonRT	FBgn0037648	0
NonRT	FBgn0262870	0
NonRT	FBgn0033154	0.0238095238095238
NonRT	FBgn0031822	0.00465116279069767
NonRT	FBgn0034543	0
NonRT	FBgn0036731	0.004739336492891
NonRT	FBgn0004580	0
NonRT	FBgn0036849	0
NonRT	FBgn0036825	0
NonRT	FBgn0031109	0.0410958904109589
NonRT	FBgn0034655	0
NonRT	FBgn0030990	0
NonRT	FBgn0259173	0
NonRT	FBgn0023530	0
NonRT	FBgn0033855	0.00934579439252336
NonRT	FBgn0032445	0
NonRT	FBgn0266429	0.225806451612903
NonRT	FBgn0036135	0
NonRT	FBgn0030586	0.170731707317073
NonRT	FBgn0026313	0
NonRT	FBgn0031263	0.00465116279069767
NonRT	FBgn0036556	0
NonRT	FBgn0032633	0
NonRT	FBgn0036618	0.0140845070422535
NonRT	FBgn0047338	0
NonRT	FBgn0015765	0
NonRT	FBgn0039188	0
NonRT	FBgn0028399	0
NonRT	FBgn0250907	0
NonRT	FBgn0260767	0.00719424460431655
NonRT	FBgn0263600	0
NonRT	FBgn0051106	0
NonRT	FBgn0035542	0.0218340611353712
NonRT	FBgn0011576	0
NonRT	FBgn0032626	0
NonRT	FBgn0039797	0
NonRT	FBgn0267348	0
NonRT	FBgn0036124	0.0169491525423729
NonRT	FBgn0086768	0
NonRT	FBgn0039027	0
NonRT	FBgn0003462	0.0194174757281553
NonRT	FBgn0037862	0
NonRT	FBgn0033888	0
NonRT	FBgn0038639	0.0588235294117647
NonRT	FBgn0036615	0
NonRT	FBgn0086378	0
NonRT	FBgn0038542	0.00558659217877095
NonRT	FBgn0028425	0.0503597122302158
NonRT	FBgn0085341	0.027027027027027
NonRT	FBgn0250845	0
NonRT	FBgn0029857	0
NonRT	FBgn0051648	0
NonRT	FBgn0035928	0
NonRT	FBgn0031851	0
NonRT	FBgn0267253	0
NonRT	FBgn0261596	0
NonRT	FBgn0029877	0.0285714285714286
NonRT	FBgn0035517	0
NonRT	FBgn0035823	0
NonRT	FBgn0011660	0
NonRT	FBgn0025608	0
NonRT	FBgn0039877	0
NonRT	FBgn0260397	0
NonRT	FBgn0037763	0.0238907849829352
NonRT	FBgn0035360	0
NonRT	FBgn0033388	0.0319148936170213
NonRT	FBgn0037431	0
NonRT	FBgn0028542	0
NonRT	FBgn0261789	0.0582959641255605
NonRT	FBgn0261986	0
NonRT	FBgn0034295	0
NonRT	FBgn0036772	0
NonRT	FBgn0031782	0
NonRT	FBgn0036752	0
NonRT	FBgn0030514	0.0114942528735632
NonRT	FBgn0011770	0
NonRT	FBgn0262518	0.00325732899022801
NonRT	FBgn0050115	0.0303030303030303
NonRT	FBgn0052392	0
NonRT	FBgn0037870	0
NonRT	FBgn0032343	0
NonRT	FBgn0031562	0.0204081632653061
NonRT	FBgn0000157	0.0266666666666667
NonRT	FBgn0040279	0
NonRT	FBgn0038423	0
NonRT	FBgn0004456	0.115384615384615
NonRT	FBgn0015754	0
NonRT	FBgn0002917	0
NonRT	FBgn0051675	0
NonRT	FBgn0086371	0
NonRT	FBgn0041235	0.054673721340388
NonRT	FBgn0036936	0.0454545454545455
NonRT	FBgn0035932	0.108108108108108
NonRT	FBgn0034345	0
NonRT	FBgn0029657	0.00934579439252336
NonRT	FBgn0001218	0.0212765957446809
NonRT	FBgn0259712	0
NonRT	FBgn0259749	0
NonRT	FBgn0030570	0.0393700787401575
NonRT	FBgn0038586	0
NonRT	FBgn0033138	0.0153846153846154
NonRT	FBgn0036759	0
NonRT	FBgn0001319	0
NonRT	FBgn0029158	0
NonRT	FBgn0001974	0
NonRT	FBgn0014075	0
NonRT	FBgn0039873	0
NonRT	FBgn0034050	0
NonRT	FBgn0033467	0
NonRT	FBgn0031568	0
NonRT	FBgn0026666	0
NonRT	FBgn0033249	0.00735294117647059
NonRT	FBgn0031473	0.00826446280991736
NonRT	FBgn0026753	0
NonRT	FBgn0033167	0
NonRT	FBgn0026369	0
NonRT	FBgn0039283	0
NonRT	FBgn0037000	0
NonRT	FBgn0036066	0
NonRT	FBgn0037188	0
NonRT	FBgn0085390	0
NonRT	FBgn0040694	0
NonRT	FBgn0001995	0
NonRT	FBgn0039723	0.0314465408805031
NonRT	FBgn0030573	0
NonRT	FBgn0262354	0
NonRT	FBgn0035028	0.0227272727272727
NonRT	FBgn0064912	0.008
NonRT	FBgn0034186	0.0909090909090909
NonRT	FBgn0036414	0
NonRT	FBgn0034666	0.024390243902439
NonRT	FBgn0036142	0
NonRT	FBgn0025697	0
NonRT	FBgn0264002	0
NonRT	FBgn0037741	0
NonRT	FBgn0030999	0.0445859872611465
NonRT	FBgn0039249	0
NonRT	FBgn0037992	0
NonRT	FBgn0051627	0
NonRT	FBgn0033931	0
NonRT	FBgn0030692	0.008
NonRT	FBgn0036667	0
NonRT	FBgn0052068	0
NonRT	FBgn0032897	0
NonRT	FBgn0031419	0.0434782608695652
NonRT	FBgn0036532	0
NonRT	FBgn0086695	0
NonRT	FBgn0035059	0
NonRT	FBgn0031643	0
NonRT	FBgn0034592	0
NonRT	FBgn0010194	0
NonRT	FBgn0031315	0.0181818181818182
NonRT	FBgn0053348	0
NonRT	FBgn0036780	0
NonRT	FBgn0040074	0
NonRT	FBgn0261938	0
NonRT	FBgn0250825	0.154929577464789
NonRT	FBgn0031530	0
NonRT	FBgn0260658	0.0491803278688525
NonRT	FBgn0085303	0.0461538461538462
NonRT	FBgn0031468	0
NonRT	FBgn0083979	0.0578512396694215
NonRT	FBgn0030837	0.024390243902439
NonRT	FBgn0051635	0
NonRT	FBgn0030944	0
NonRT	FBgn0035538	0
NonRT	FBgn0034151	0
NonRT	FBgn0032058	0
NonRT	FBgn0001125	0
NonRT	FBgn0031279	0
NonRT	FBgn0027054	0.0615384615384615
NonRT	FBgn0005666	0.024390243902439
NonRT	FBgn0028689	0
NonRT	FBgn0086757	0
NonRT	FBgn0020416	0.0593220338983051
NonRT	FBgn0015271	0.0588235294117647
NonRT	FBgn0038432	0
NonRT	FBgn0020018	0
NonRT	FBgn0024319	0.0192307692307692
NonRT	FBgn0034259	0
NonRT	FBgn0034270	0.0526315789473684
NonRT	FBgn0052100	0.0072992700729927
NonRT	FBgn0264270	0
NonRT	FBgn0025878	0
NonRT	FBgn0037019	0
NonRT	FBgn0053703	0
NonRT	FBgn0030107	0
NonRT	FBgn0036491	0
NonRT	FBgn0032111	0.0752688172043011
NonRT	FBgn0039835	0
NonRT	FBgn0030077	0.0212765957446809
NonRT	FBgn0030326	0.0786516853932584
NonRT	FBgn0037624	0
NonRT	FBgn0053784	0
NonRT	FBgn0039747	0
NonRT	FBgn0038201	0
NonRT	FBgn0050476	0.12
NonRT	FBgn0003865	0
NonRT	FBgn0030793	0.2
NonRT	FBgn0023545	0
NonRT	FBgn0261276	0
NonRT	FBgn0265262	0
NonRT	FBgn0003087	0
NonRT	FBgn0034967	0
NonRT	FBgn0038238	0
NonRT	FBgn0036227	0
NonRT	FBgn0037238	0.0153846153846154
NonRT	FBgn0053325	0
NonRT	FBgn0032746	0
NonRT	FBgn0085387	0
NonRT	FBgn0037668	0
NonRT	FBgn0031529	0
NonRT	FBgn0032869	0
NonRT	FBgn0033373	0
NonRT	FBgn0024909	0.0526315789473684
NonRT	FBgn0002593	0
NonRT	FBgn0033813	0.00598802395209581
NonRT	FBgn0033543	0
NonRT	FBgn0039443	0
NonRT	FBgn0260944	0
NonRT	FBgn0039338	0
NonRT	FBgn0005642	0
NonRT	FBgn0017578	0
NonRT	FBgn0039112	0
NonRT	FBgn0051718	0.0143737166324435
NonRT	FBgn0030659	0
NonRT	FBgn0038528	0
NonRT	FBgn0054034	0
NonRT	FBgn0033190	0
NonRT	FBgn0033079	0
NonRT	FBgn0032474	0
NonRT	FBgn0000180	0
NonRT	FBgn0036230	0
NonRT	FBgn0035719	0
NonRT	FBgn0015278	0
NonRT	FBgn0037447	0
NonRT	FBgn0051957	0.0384615384615385
NonRT	FBgn0024555	0
NonRT	FBgn0266420	0
NonRT	FBgn0010381	0
NonRT	FBgn0032405	0
NonRT	FBgn0039640	0.00404858299595142
NonRT	FBgn0035407	0.0153846153846154
NonRT	FBgn0031249	0
NonRT	FBgn0034639	0
NonRT	FBgn0030030	0
NonRT	FBgn0032884	0
NonRT	FBgn0028402	0
NonRT	FBgn0019957	0
NonRT	FBgn0262531	0.0526315789473684
NonRT	FBgn0039628	0.0526315789473684
NonRT	FBgn0010379	0
NonRT	FBgn0085252	0
NonRT	FBgn0038286	0
NonRT	FBgn0031516	0
NonRT	FBgn0033913	0.0133333333333333
NonRT	FBgn0040629	0
NonRT	FBgn0032731	0
NonRT	FBgn0054054	0
NonRT	FBgn0087040	0
NonRT	FBgn0035663	0
NonRT	FBgn0025634	0
NonRT	FBgn0026749	0
NonRT	FBgn0052945	0
NonRT	FBgn0031500	0
NonRT	FBgn0033206	0
NonRT	FBgn0034689	0
NonRT	FBgn0036427	0
NonRT	FBgn0263314	0
NonRT	FBgn0037417	0
NonRT	FBgn0042131	0
NonRT	FBgn0015575	0
NonRT	FBgn0027066	0
NonRT	FBgn0030358	0.196428571428571
NonRT	FBgn0039597	0.0454545454545455
NonRT	FBgn0263743	0
NonRT	FBgn0038331	0.0833333333333333
NonRT	FBgn0010100	0
NonRT	FBgn0022160	0
NonRT	FBgn0040653	0
NonRT	FBgn0027070	0.102941176470588
NonRT	FBgn0037818	0
NonRT	FBgn0031308	0.181818181818182
NonRT	FBgn0033608	0
NonRT	FBgn0034582	0.027027027027027
NonRT	FBgn0027791	0.160839160839161
NonRT	FBgn0036330	0
NonRT	FBgn0000075	0
NonRT	FBgn0039020	0
NonRT	FBgn0050401	0.023696682464455
NonRT	FBgn0031003	0
NonRT	FBgn0051007	0.0459363957597173
NonRT	FBgn0035710	0
NonRT	FBgn0017567	0
NonRT	FBgn0032036	0
NonRT	FBgn0011305	0
NonRT	FBgn0033486	0
NonRT	FBgn0033225	0
NonRT	FBgn0266124	0.0434782608695652
NonRT	FBgn0265190	0
NonRT	FBgn0032692	0
NonRT	FBgn0025712	0
NonRT	FBgn0039469	0
NonRT	FBgn0083949	0.00478468899521531
NonRT	FBgn0030985	0
NonRT	FBgn0028932	0
NonRT	FBgn0039994	0
NonRT	FBgn0263601	0
NonRT	FBgn0032664	0.024390243902439
NonRT	FBgn0051473	0.0144927536231884
NonRT	FBgn0050065	0
NonRT	FBgn0052694	0
NonRT	FBgn0265042	0
NonRT	FBgn0036819	0
NonRT	FBgn0000247	0
NonRT	FBgn0031244	0
NonRT	FBgn0034455	0
NonRT	FBgn0031711	0
NonRT	FBgn0052150	0
NonRT	FBgn0039108	0.846153846153846
NonRT	FBgn0038919	0.00947867298578199
NonRT	FBgn0003250	0
NonRT	FBgn0021856	0
NonRT	FBgn0002778	0
NonRT	FBgn0034049	0
NonRT	FBgn0264294	0
NonRT	FBgn0036274	0
NonRT	FBgn0000299	0.0072992700729927
NonRT	FBgn0001989	0
NonRT	FBgn0262125	0
NonRT	FBgn0027596	0
NonRT	FBgn0036795	0
NonRT	FBgn0037114	0
NonRT	FBgn0034420	0.125
NonRT	FBgn0031490	0
NonRT	FBgn0026388	0
NonRT	FBgn0011674	0
NonRT	FBgn0264907	0
NonRT	FBgn0051064	0
NonRT	FBgn0029664	0.00699300699300699
NonRT	FBgn0040319	0
NonRT	FBgn0040234	0
NonRT	FBgn0031702	0
NonRT	FBgn0038551	0
NonRT	FBgn0037515	0
NonRT	FBgn0053639	0.0344827586206897
NonRT	FBgn0263607	0
NonRT	FBgn0030622	0.108108108108108
NonRT	FBgn0030493	0
NonRT	FBgn0035839	0
NonRT	FBgn0026389	0.0140845070422535
NonRT	FBgn0035553	0.012987012987013
NonRT	FBgn0034839	0
NonRT	FBgn0032799	0
NonRT	FBgn0022029	0
NonRT	FBgn0032601	0.0909090909090909
NonRT	FBgn0039900	0
NonRT	FBgn0039742	0
NonRT	FBgn0031908	0
NonRT	FBgn0010926	0
NonRT	FBgn0001120	0
NonRT	FBgn0037634	0.0413223140495868
NonRT	FBgn0016038	0.141104294478528
NonRT	FBgn0032922	0
NonRT	FBgn0036727	0
NonRT	FBgn0035751	0.152173913043478
NonRT	FBgn0034617	0
NonRT	FBgn0041709	0
NonRT	FBgn0026417	0.00645161290322581
NonRT	FBgn0086355	0.00763358778625954
NonRT	FBgn0261881	0
NonRT	FBgn0027587	0
NonRT	FBgn0000071	0
NonRT	FBgn0033983	0
NonRT	FBgn0053544	0.0847457627118644
NonRT	FBgn0038915	0
NonRT	FBgn0032805	0
NonRT	FBgn0086605	0
NonRT	FBgn0260388	0
NonRT	FBgn0034501	0
NonRT	FBgn0037315	0
NonRT	FBgn0052107	0.0217391304347826
NonRT	FBgn0030745	0.0434782608695652
NonRT	FBgn0030104	0.0964467005076142
NonRT	FBgn0250834	0.291139240506329
NonRT	FBgn0022224	0.0448979591836735
NonRT	FBgn0260996	0.0857142857142857
NonRT	FBgn0036527	0
NonRT	FBgn0035122	0
NonRT	FBgn0011764	0
NonRT	FBgn0039260	0
NonRT	FBgn0034713	0.169491525423729
NonRT	FBgn0030593	0
NonRT	FBgn0039467	0
NonRT	FBgn0038448	0.294117647058824
NonRT	FBgn0035799	0
NonRT	FBgn0086690	0.0227272727272727
NonRT	FBgn0260991	0
NonRT	FBgn0033809	0.0327868852459016
NonRT	FBgn0030098	0.0954356846473029
NonRT	FBgn0032055	0.164835164835165
NonRT	FBgn0037721	0.0625
NonRT	FBgn0031975	0.25
NonRT	FBgn0037203	0.0186915887850467
NonRT	FBgn0034791	0.0105263157894737
NonRT	FBgn0016031	0
NonRT	FBgn0032457	0
NonRT	FBgn0038150	0
NonRT	FBgn0035473	0
NonRT	FBgn0023395	0
NonRT	FBgn0029647	0
NonRT	FBgn0034066	0
NonRT	FBgn0028525	0.010989010989011
NonRT	FBgn0031804	0.0727272727272727
NonRT	FBgn0035689	0
NonRT	FBgn0000527	0
NonRT	FBgn0032430	0.00401606425702811
NonRT	FBgn0033784	0
NonRT	FBgn0266464	0
NonRT	FBgn0083969	0
NonRT	FBgn0036239	0
NonRT	FBgn0262102	0
NonRT	FBgn0033725	0.0416666666666667
NonRT	FBgn0037603	0
NonRT	FBgn0035379	0.0526315789473684
NonRT	FBgn0003275	0
NonRT	FBgn0052117	0.0099009900990099
NonRT	FBgn0028412	0.04
NonRT	FBgn0034099	0
NonRT	FBgn0030234	0
NonRT	FBgn0014465	0.0445344129554656
NonRT	FBgn0038475	0
NonRT	FBgn0037728	0
NonRT	FBgn0031078	0
NonRT	FBgn0037538	0
NonRT	FBgn0032929	0
NonRT	FBgn0036111	0
NonRT	FBgn0030480	0
NonRT	FBgn0020930	0.0212765957446809
NonRT	FBgn0040212	0
NonRT	FBgn0028507	0
NonRT	FBgn0039156	0
NonRT	FBgn0032597	0.0909090909090909
NonRT	FBgn0039544	0.00649350649350649
NonRT	FBgn0039765	0
NonRT	FBgn0262734	0
NonRT	FBgn0261587	0
NonRT	FBgn0052085	0.1
NonRT	FBgn0035985	0.0718232044198895
NonRT	FBgn0036676	0
NonRT	FBgn0029766	0
NonRT	FBgn0038763	0.0449438202247191
NonRT	FBgn0036581	0
NonRT	FBgn0036403	0.636363636363636
NonRT	FBgn0036940	0.00840336134453781
NonRT	FBgn0051015	0.0169491525423729
NonRT	FBgn0004367	0.0735294117647059
NonRT	FBgn0035025	0
NonRT	FBgn0039887	0
NonRT	FBgn0034363	0.03125
NonRT	FBgn0038088	0
NonRT	FBgn0030913	0
NonRT	FBgn0264494	0.010752688172043
NonRT	FBgn0038890	0
NonRT	FBgn0038589	0
NonRT	FBgn0035268	0
NonRT	FBgn0037552	0
NonRT	FBgn0019886	0
NonRT	FBgn0033656	0.0120481927710843
NonRT	FBgn0032291	0
NonRT	FBgn0010278	0
NonRT	FBgn0035298	1
NonRT	FBgn0031050	0.0149253731343284
NonRT	FBgn0000422	0
NonRT	FBgn0032812	0
NonRT	FBgn0036188	0
NonRT	FBgn0036155	0
NonRT	FBgn0031389	0.2
NonRT	FBgn0054003	0
NonRT	FBgn0052536	0
NonRT	FBgn0029838	0
NonRT	FBgn0038849	0
NonRT	FBgn0030946	0
NonRT	FBgn0038870	0
NonRT	FBgn0261673	0
NonRT	FBgn0030889	0
NonRT	FBgn0034288	0
NonRT	FBgn0036306	0
NonRT	FBgn0031722	0
NonRT	FBgn0036354	0.0638297872340425
NonRT	FBgn0035449	0
NonRT	FBgn0028743	0.00900900900900901
NonRT	FBgn0037227	0
NonRT	FBgn0033139	0
NonRT	FBgn0031571	0
NonRT	FBgn0003360	0
NonRT	FBgn0032819	0
NonRT	FBgn0263987	0
NonRT	FBgn0036896	0.00671140939597315
NonRT	FBgn0065110	0
NonRT	FBgn0003137	0
NonRT	FBgn0039810	0
NonRT	FBgn0030409	0
NonRT	FBgn0037027	0
NonRT	FBgn0034709	0
NonRT	FBgn0031738	0
NonRT	FBgn0037549	0
NonRT	FBgn0036622	0.00398406374501992
NonRT	FBgn0035104	0.00613496932515337
NonRT	FBgn0015544	0
NonRT	FBgn0030724	0
NonRT	FBgn0004381	0
NonRT	FBgn0035583	0.0204081632653061
NonRT	FBgn0030096	0
NonRT	FBgn0036340	0
NonRT	FBgn0032645	0.0909090909090909
NonRT	FBgn0036734	0
NonRT	FBgn0042201	0
NonRT	FBgn0053140	0.478260869565217
NonRT	FBgn0029945	0
NonRT	FBgn0051800	0
NonRT	FBgn0034391	0
NonRT	FBgn0052311	0.032258064516129
NonRT	FBgn0031462	0
NonRT	FBgn0030260	0
NonRT	FBgn0034360	0.0114942528735632
NonRT	FBgn0033184	0.00671140939597315
NonRT	FBgn0036470	0.00970873786407767
NonRT	FBgn0030989	0
NonRT	FBgn0032969	0
